DY
177
8
Life expectancy at birth (years) ;Adult literacy rate (% ages 15 and older) ;Combined gross enrolment ratio for primary secondary and tertiary schools (%);GDP per capita (PPP US$) ;Life expectancy index;Education index;GDP index;GDP per capita (PPP US$) rank minus HDI rank
071-Saint Lucia;72.6;94.8;76;6324;0.79;0.89;0.69;16;0.79
072-Venezuela, RB;73;93;74;6043;0.8;0.87;0.68;17;0.784
073-Albania;73.9;98.7;68;4978;0.82;0.88;0.65;26;0.784
074-Thailand;70.3;92.6;74;8090;0.75;0.86;0.73;-9;0.784
075-Samoa (Western);70.5;99;74;5613;0.76;0.9;0.67;22;0.778
076-Saudi Arabia;72;79.4;59;13825;0.78;0.72;0.82;-31;0.777
077-Ukraine;66.1;99.4;85;6394;0.69;0.94;0.69;9;0.774
078-Lebanon;72.2;86;84;5837;0.79;0.86;0.68;13;0.774
079-Kazakhstan;63.4;99.5;91;7440;0.64;0.96;0.72;-5;0.774
080-Armenia;71.6;99.4;74;4101;0.78;0.91;0.62;32;0.768
081-China;71.9;90.9;70;5896;0.78;0.84;0.68;9;0.768
082-Peru;70.2;87.7;86;5678;0.75;0.87;0.67;12;0.767
083-Ecuador;74.5;91;75;3963;0.82;0.86;0.61;30;0.765
084-Philippines;70.7;92.6;82;4614;0.76;0.89;0.64;19;0.763
085-Grenada;65.3;96;73;8021;0.67;0.88;0.73;-18;0.762
086-Jordan;71.6;89.9;79;4688;0.78;0.86;0.64;16;0.76
087-Tunisia;73.5;74.3;75;7768;0.81;0.75;0.73;-18;0.76
088-Saint Vincent and the Grenadines;71.3;88.1;68;6398;0.77;0.81;0.69;-3;0.759
089-Suriname;69.3;89.6;72;6552;0.74;0.84;0.7;-5;0.759
090-Fiji;68;93;75;6066;0.72;0.87;0.69;-2;0.758
091-Paraguay;71.2;93;70;4813;0.77;0.86;0.65;9;0.757
092-Turkey;68.9;87.4;69;7753;0.73;0.81;0.73;-22;0.757
093-Sri Lanka;74.3;90.7;63;4390;0.82;0.81;0.63;13;0.755
094-Dominican Republic;67.5;87;74;7449;0.71;0.83;0.72;-21;0.751
095-Belize;71.8;75.1;81;6747;0.78;0.77;0.7;-15;0.751
096-Iran, Islamic Rep. of;70.7;77;72;7525;0.76;0.75;0.72;-24;0.746
097-Georgia;70.6;100;75;2844;0.76;0.91;0.56;23;0.743
098-Maldives;67;96.3;69;4798;0.7;0.87;0.65;3;0.739
099-Azerbaijan;67;98.8;68;4153;0.7;0.89;0.62;12;0.736
100-Occupied Palestinian Territories;72.7;92.4;81;2331;0.8;0.89;0.53;26;0.736
101-El Salvador;71.1;80;70;5041;0.77;0.76;0.65;-3;0.729
102-Algeria;71.4;69.9;73;6603;0.77;0.71;0.7;-19;0.728
103-Guyana;63.6;96.5;76;4439;0.64;0.9;0.63;2;0.725
104-Jamaica;70.7;79.9;77;4163;0.76;0.79;0.62;6;0.724
105-Turkmenistan;62.5;98.8;75;4584;0.63;0.91;0.64;-1;0.724
106-Cape Verde;70.7;76;67;5727;0.76;0.73;0.68;-14;0.722
107-Syrian Arab Republic;73.6;79.6;63;3610;0.81;0.74;0.6;8;0.716
108-Indonesia;67.2;90.4;68;3609;0.7;0.83;0.6;8;0.711
109-Viet Nam;70.8;90.3;63;2745;0.76;0.81;0.55;12;0.709
110-Kyrgyzstan;67.1;98.7;78;1935;0.7;0.92;0.49;32;0.705
111-Egypt;70.2;71.4;76;4211;0.75;0.73;0.62;-2;0.702
112-Nicaragua;70;76.7;70;3634;0.75;0.75;0.6;2;0.698
113-Uzbekistan;66.6;99;74;1869;0.69;0.91;0.49;32;0.696
114-Moldova, Rep. of;68.1;98.4;70;1729;0.72;0.89;0.48;33;0.694
115-Bolivia;64.4;86.7;87;2720;0.66;0.87;0.55;7;0.692
116-Mongolia;64.5;97.8;77;2056;0.66;0.91;0.5;18;0.691
117-Honduras;68.1;80;71;2876;0.72;0.77;0.56;2;0.683
118-Guatemala;67.6;69.1;66;4313;0.71;0.68;0.63;-11;0.673
119-Vanuatu;68.9;74;64;3051;0.73;0.71;0.57;-1;0.67
120-Equatorial Guinea;42.8;87;58;20510;0.3;0.77;0.89;-90;0.653
121-South Africa;47;82.4;77;11192;0.37;0.8;0.79;-66;0.653
122-Tajikistan;63.7;99.5;71;1202;0.65;0.9;0.41;34;0.652
123-Morocco;70;52.3;58;4309;0.75;0.54;0.63;-15;0.64
124-Gabon;54;71;72;6623;0.48;0.71;0.7;-43;0.633
125-Namibia;47.2;85;67;7418;0.37;0.79;0.72;-50;0.626
126-India;63.6;61;62;3139;0.64;0.61;0.58;-9;0.611
127-São Tomé and Principe;63.2;83.1;63;1231;0.64;0.76;0.42;28;0.607
128-Solomon Islands;62.6;76.6;47;1814;0.63;0.67;0.48;18;0.592
129-Cambodia;56.5;73.6;60;2423;0.52;0.69;0.53;-4;0.583
130-Myanmar;60.5;89.9;49;1027;0.59;0.76;0.39;33;0.581
131-Botswana;34.9;81.2;71;9945;0.16;0.78;0.77;-73;0.57
132-Comoros;63.7;56;46;1943;0.64;0.53;0.5;8;0.556
133-Lao People's Dem. Rep.;55.1;68.7;61;1954;0.5;0.66;0.5;5;0.553
134-Pakistan;63.4;49.9;38;2225;0.64;0.46;0.52;-6;0.539
135-Bhutan;63.4;47;49;1969;0.64;0.48;0.5;2;0.538
136-Ghana;57;57.9;47;2240;0.53;0.54;0.52;-9;0.532
137-Bangladesh;63.3;41;57;1870;0.64;0.46;0.49;7;0.53
138-Nepal;62.1;48.6;57;1490;0.62;0.51;0.45;13;0.527
139-Papua New Guinea;55.7;57.3;41;2543;0.51;0.52;0.54;-15;0.523
140-Congo;52.3;83;52;978;0.46;0.72;0.38;25;0.52
141-Sudan;56.5;60.9;37;1949;0.53;0.53;0.5;-2;0.516
142-Timor-Leste;56;58.6;72;1033;0.52;0.63;0.39;20;0.512
143-Madagascar;55.6;70.7;57;857;0.51;0.66;0.36;26;0.509
144-Cameroon;45.7;67.9;62;2174;0.34;0.66;0.51;-13;0.506
145-Uganda;48.4;66.8;66;1478;0.39;0.67;0.45;7;0.502
146-Swaziland;31.3;79.6;58;5638;0.1;0.72;0.67;-50;0.5
147-Togo;54.5;53.2;55;1536;0.49;0.54;0.46;3;0.495
148-Djibouti;52.9;65;24;1993;0.47;0.52;0.5;-13;0.494
149-Lesotho;35.2;82.2;66;2619;0.17;0.77;0.54;-26;0.494
150-Yemen;61.1;49;55;879;0.6;0.51;0.36;18;0.492
151-Zimbabwe;36.6;90;52;2065;0.19;0.77;0.51;-18;0.491
152-Kenya;47.5;73.6;60;1140;0.37;0.69;0.41;7;0.491
153-Mauritania;53.1;51.2;46;1940;0.47;0.49;0.49;-12;0.486
154-Haiti;52;52;48;1892;0.45;0.5;0.49;-11;0.482
155-Gambia;56.1;38;50;1991;0.52;0.42;0.5;-19;0.479
156-Senegal;56;39.3;38;1713;0.52;0.39;0.47;-8;0.46
157-Eritrea;54.3;57;35;977;0.49;0.5;0.38;9;0.454
158-Rwanda;44.2;64.9;52;1263;0.32;0.61;0.42;-5;0.45
159-Nigeria;43.4;67;55;1154;0.31;0.63;0.41;-1;0.448
160-Guinea;53.9;29.5;42;2180;0.48;0.34;0.51;-30;0.445
161-Angola;41;67.4;26;2180;0.27;0.53;0.51;-32;0.439
162-Tanzania, U. Rep. of;45.9;69.4;48;674;0.35;0.62;0.32;13;0.43
163-Benin;54.3;34.7;49;1091;0.49;0.4;0.4;-2;0.428
164-Côte d'Ivoire;45.9;48.7;40;1551;0.35;0.46;0.46;-15;0.421
165-Zambia;37.7;68;54;943;0.21;0.63;0.37;2;0.407
166-Malawi;39.8;64.1;64;646;0.25;0.64;0.31;10;0.4
167-Congo, Dem. Rep. of the;43.5;67.2;27;705;0.31;0.54;0.33;6;0.391
168-Mozambique;41.6;46;49;1237;0.28;0.47;0.42;-14;0.39
169-Burundi;44;59.3;36;677;0.32;0.52;0.32;5;0.384
170-Ethiopia;47.8;42;36;756;0.38;0.4;0.34;1;0.371
171-Chad;43.7;25.7;35;2090;0.31;0.29;0.51;-39;0.368
172-Central African Republic;39.1;48.6;30;1094;0.24;0.42;0.4;-12;0.353
173-Guinea-Bissau;44.8;40;37;722;0.33;0.39;0.33;-1;0.349
174-Burkina Faso;47.9;21.8;26;1169;0.38;0.23;0.41;-17;0.342
175-Mali;48.1;19;35;998;0.39;0.24;0.38;-11;0.338
176-Sierra Leone;41;35.1;65;561;0.27;0.45;0.29;1;0.335
177-Niger;44.6;28.7;21;779;0.33;0.26;0.34;-7;0.311
